,code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,stats,team_a,team_a_difficulty,team_a_score,team_h,team_h_difficulty,team_h_score
0,1059702,1,False,False,1,2019-08-09 19:00:00,0,1970-01-01 00:00:00,False,[],14,5,,10,2,
1,1059709,1,False,False,8,2019-08-10 11:30:00,0,1970-01-01 00:00:00,False,[],11,3,,19,4,
2,1059703,1,False,False,2,2019-08-10 14:00:00,0,1970-01-01 00:00:00,False,[],15,3,,3,2,
3,1059704,1,False,False,3,2019-08-10 14:00:00,0,1970-01-01 00:00:00,False,[],16,2,,5,2,
4,1059705,1,False,False,4,2019-08-10 14:00:00,0,1970-01-01 00:00:00,False,[],8,2,,7,2,
5,1059708,1,False,False,7,2019-08-10 14:00:00,0,1970-01-01 00:00:00,False,[],4,3,,18,2,
6,1059707,1,False,False,6,2019-08-10 16:30:00,0,1970-01-01 00:00:00,False,[],2,4,,17,2,
7,1059706,1,False,False,5,2019-08-11 13:00:00,0,1970-01-01 00:00:00,False,[],20,3,,9,3,
8,1059711,1,False,False,10,2019-08-11 13:00:00,0,1970-01-01 00:00:00,False,[],1,3,,13,4,
9,1059710,1,False,False,9,2019-08-11 15:30:00,0,1970-01-01 00:00:00,False,[],6,4,,12,4,
10,1059712,2,False,False,11,2019-08-17 11:30:00,0,1970-01-01 00:00:00,False,[],5,4,,1,2,
11,1059713,2,False,False,12,2019-08-17 14:00:00,0,1970-01-01 00:00:00,False,[],3,2,,2,2,
12,1059714,2,False,False,13,2019-08-17 14:00:00,0,1970-01-01 00:00:00,False,[],19,2,,4,2,
13,1059716,2,False,False,15,2019-08-17 14:00:00,0,1970-01-01 00:00:00,False,[],18,4,,8,3,
14,1059718,2,False,False,17,2019-08-17 14:00:00,0,1970-01-01 00:00:00,False,[],13,2,,14,2,
15,1059720,2,False,False,19,2019-08-17 14:00:00,0,1970-01-01 00:00:00,False,[],10,2,,16,4,
